#mass(GeV) Planck(cm^2) S3(cm^2) S4(cm^2) CV-limited(cm^2)
1.5000000000000004e-05 1.4857964354915693e-26 1.8982956766955343e-27 4.327897615515988e-28 5.907030304852628e-29
3.871470279597064e-05 1.9199579869945728e-26 2.4265401612620302e-27 5.501826447524839e-28 7.436313261082627e-29
9.992188083868909e-05 2.4761263509838655e-26 3.100214163376423e-27 6.987038859165464e-28 9.368320476907701e-29
0.00025789639463228244 3.191164215922844e-26 3.956915253498804e-27 8.879090699527541e-28 1.1828729437452795e-28
0.0006656254846894113 4.0856649157645876e-26 5.0370452473892e-27 1.1278760803982787e-27 1.4915496138377191e-28
0.0017179661875449637 5.180207264142904e-26 6.383584529243134e-27 1.4260489941657467e-27 1.8825275039446517e-28
0.004434036690955329 6.43858965518269e-26 8.029182645420497e-27 1.7948012519732594e-27 2.3657839790341216e-28
0.011444160845117643 7.785712382118792e-26 9.970758010530295e-27 2.239387912029343e-27 2.9596190811483302e-28
0.029537152391200906 9.114049760509901e-26 1.2203427229790506e-26 2.7658576353412746e-27 3.6812014535075053e-28
0.07623480508430909 1.0376785601102445e-25 1.4800718757765838e-26 3.3856735010348206e-27 4.553459042285968e-28
0.19676052143651845 1.1832277431117993e-25 1.795958222586364e-26 4.161461259787756e-27 5.66971642866692e-28
0.5078350072930014 1.3819303758928111e-25 2.2167761235975524e-26 5.192458673137688e-27 7.141528702052164e-28
1.3107120917825388 1.6127768814969629e-25 2.6851281456540594e-26 6.34520955718318e-27 8.80795596232443e-28
3.3829219389630643 1.8114615889305767e-25 3.1145136805645675e-26 7.421127970664572e-27 1.0377622897771762e-27
8.731254496594916 2.324120468733239e-25 4.0798779546863357e-26 9.756059857333026e-27 1.3690393128007055e-27
22.535194858110287 3.9359317347668577e-25 6.919872962086115e-26 1.6494453217089438e-26 2.2990290140934783e-27
58.16289142540168 8.283293705050876e-25 1.4449680401966522e-25 3.430137740083544e-26 4.749247609953886e-27
150.1172703525823 1.961094374774548e-24 3.3969605994858364e-25 8.036271579362137e-26 1.1035270101104978e-26
387.44970041617313 4.88285474243859e-24 8.425462642907675e-25 1.9896459526870452e-25 2.7240416918050186e-26
1000.0 1.2416669416738862e-23 2.140064110664639e-24 5.043804292740289e-25 6.899841018476953e-26
